component,layer,position,mem,cp,diff,mem_perc,cp_perc,diff_perc,mem_std,cp_std,mem_idx,cp_idx
resid_post,0,0,0.33851373195648193,-0.006359399762004614,0.3448731303215027,-60.394290924072266,-101.18226623535156,8.857556343078613,0.27169501781463623,0.46737000346183777,16668.33203125,23952.390625
resid_post,0,1,1.811051845550537,0.49632811546325684,1.3147237300872803,111.89093780517578,-7.7282304763793945,314.98626708984375,1.1583244800567627,0.7211204767227173,3827.1904296875,15174.0712890625
resid_post,0,2,1.379900574684143,0.2756423354148865,1.104258418083191,61.44674301147461,-48.75566101074219,248.55389404296875,0.8161677718162537,0.5960907936096191,2171.865966796875,14962.189453125
resid_post,0,3,1.2195130586624146,0.256041556596756,0.9634714722633362,42.68159484863281,-52.399620056152344,204.11517333984375,0.8858352899551392,0.502952516078949,5319.77392578125,17655.095703125
resid_post,0,4,0.5112468600273132,0.25972774624824524,0.2515190839767456,-40.18471908569336,-51.714324951171875,-20.609203338623047,0.1766698956489563,0.22748278081417084,5976.71337890625,14320.625
resid_post,0,5,0.731717586517334,0.4446239471435547,0.2870936691761017,-14.38990306854248,-17.340490341186523,-9.380253791809082,0.17927902936935425,0.2255421280860901,1166.107177734375,6399.46435546875
resid_post,0,6,1.0983030796051025,3.8943705558776855,-2.796067476272583,28.50016975402832,623.997802734375,-982.5653076171875,0.5261628031730652,0.9826052784919739,4894.8212890625,0.738095223903656
resid_post,0,7,0.5866812467575073,0.44262415170669556,0.14405708014965057,-31.358983993530273,-17.712270736694336,-54.52907180786133,0.11724645644426346,0.21989946067333221,3909.10107421875,8344.6728515625
resid_post,0,8,0.0,0.0,0.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,0,9,1.3565568923950195,0.3917103707790375,0.9648464918136597,58.71556091308594,-27.17759132385254,204.5491943359375,0.8459687829017639,0.5687041878700256,3957.72021484375,15537.88671875
resid_post,0,10,0.9688727855682373,0.18029287457466125,0.7885799407958984,13.356976509094238,-66.48196411132812,148.9114990234375,0.6001796722412109,0.42679062485694885,2588.752197265625,16151.498046875
resid_post,0,11,0.8002797961235046,0.19916383922100067,0.6011160016059875,-6.3682050704956055,-62.97368621826172,89.73939514160156,0.5697111487388611,0.3525978624820709,6410.64306640625,17832.88671875
resid_post,0,12,0.4270504117012024,0.2202654778957367,0.2067849338054657,-50.03560256958008,-59.05070495605469,-34.72932052612305,0.1818753331899643,0.20096591114997864,5741.251953125,13525.2470703125
resid_post,0,13,0.7362446784973145,0.4761417508125305,0.2601029574871063,-13.860238075256348,-11.481053352355957,-17.899744033813477,0.21457885205745697,0.24942812323570251,1188.5654296875,6002.73828125
resid_post,1,0,0.6610559821128845,0.2832568287849426,0.3777991831302643,-38.99812316894531,-55.202728271484375,-16.296972274780273,0.3070063889026642,0.6822547316551208,12395.36328125,19544.04296875
resid_post,1,1,2.1111929416656494,0.671109139919281,1.4400838613510132,94.8197021484375,6.136389255523682,219.05674743652344,1.1853053569793701,0.8590601682662964,3165.46435546875,13905.23828125
resid_post,1,2,1.7122011184692383,0.3386126160621643,1.3735885620117188,58.00096130371094,-46.44817352294922,204.32443237304688,0.9442629218101501,0.699837863445282,1686.4700927734375,15051.470703125
resid_post,1,3,1.5506401062011719,0.267352819442749,1.2832872867584229,43.092201232910156,-57.71796417236328,184.3177947998047,0.9854864478111267,0.5953620672225952,3473.386962890625,18178.76171875
resid_post,1,4,0.7388035655021667,0.30973318219184875,0.4290704131126404,-31.82362174987793,-51.01547622680664,-4.937611103057861,0.25474852323532104,0.26988789439201355,3920.0908203125,13933.607421875
resid_post,1,5,0.9661341309547424,0.5589541792869568,0.40717998147010803,-10.845684051513672,-11.600996971130371,-9.787529945373535,0.21217983961105347,0.26246267557144165,646.1071166992188,5692.255859375
resid_post,1,6,1.323447823524475,3.8739359378814697,-2.5504884719848633,22.127023696899414,512.665771484375,-665.0716552734375,0.602296769618988,0.9185683727264404,4352.0712890625,2.5059523582458496
resid_post,1,7,0.8304450511932373,0.5894418954849243,0.241003155708313,-23.36699676513672,-6.779343605041504,-46.60471725463867,0.17514431476593018,0.27956780791282654,2352.672607421875,7038.36328125
resid_post,1,8,0.0,0.0,0.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,1,9,1.5675241947174072,0.5794852375984192,0.9880388379096985,44.65025329589844,-8.353996276855469,118.90424346923828,0.8207777142524719,0.6290388703346252,2831.511962890625,12301.720703125
resid_post,1,10,1.209305763244629,0.2345755398273468,0.9747301936149597,11.5940580368042,-62.901710510253906,115.95565032958984,0.7180511951446533,0.4761394262313843,1856.583740234375,15373.7548828125
resid_post,1,11,0.9552507996559143,0.2412320375442505,0.714018702507019,-11.849991798400879,-61.84897994995117,58.19390106201172,0.5909247994422913,0.39450493454933167,4422.72021484375,17021.052734375
resid_post,1,12,0.5774453282356262,0.2974129319190979,0.28003233671188354,-46.71366882324219,-52.96393585205078,-37.95763397216797,0.22375693917274475,0.24401482939720154,4088.5107421875,11826.904296875
resid_post,1,13,0.9678621888160706,0.607213020324707,0.3606491684913635,-10.686219215393066,-3.968827724456787,-20.09663200378418,0.27248579263687134,0.32506251335144043,738.1488037109375,5432.5
resid_post,2,0,0.8813887238502502,0.42930474877357483,0.4520840346813202,-31.230573654174805,-42.11166763305664,-16.288387298583984,0.3982906937599182,0.8986769318580627,12322.36328125,19689.91015625
resid_post,2,1,2.233604907989502,0.7463881373405457,1.4872167110443115,74.27466583251953,0.6445040702819824,175.3853302001953,1.1654772758483887,0.9549963474273682,3066.90478515625,14088.154296875
resid_post,2,2,2.150297164916992,0.517680287361145,1.632616639137268,67.77467346191406,-30.194929122924805,202.3087615966797,1.0719753503799438,0.8152845501899719,1138.2259521484375,13156.3017578125
resid_post,2,3,1.8448063135147095,0.4192725718021393,1.4255338907241821,43.93906784057617,-43.46442794799805,163.963623046875,0.9777682423591614,0.689258337020874,2466.75,15752.220703125
resid_post,2,4,0.9414610266685486,0.41343334317207336,0.5280277729034424,-26.54349708557129,-44.251800537109375,-2.2260189056396484,0.3508662283420563,0.30335989594459534,3517.8125,12378.841796875
resid_post,2,5,1.1824817657470703,0.7434612512588501,0.439020574092865,-7.7381062507629395,0.2498367428779602,-18.707326889038086,0.2235824316740036,0.3020747900009155,487.8690490722656,4202.26806640625
resid_post,2,6,1.4572831392288208,3.959972858428955,-2.5026895999908447,13.702980995178223,433.9708557128906,-563.4186401367188,0.702229917049408,0.9142034649848938,4536.4521484375,6.089285850524902
resid_post,2,7,0.9206055402755737,0.6916254162788391,0.22898003458976746,-28.17072296142578,-6.739813327789307,-57.60016632080078,0.17518432438373566,0.2707720994949341,2256.244140625,6019.47021484375
resid_post,2,8,0.0,0.0,0.0,-100.00000762939453,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,2,9,1.8492708206176758,0.6493156552314758,1.1999552249908447,44.28740692138672,-12.444948196411133,122.19361877441406,0.9103497862815857,0.6930029392242432,2151.327392578125,12165.75
resid_post,2,10,1.4899133443832397,0.34227970242500305,1.1476335525512695,16.248918533325195,-53.8463020324707,112.50530242919922,0.8116374611854553,0.5255764722824097,1067.2958984375,13759.85546875
resid_post,2,11,1.1361119747161865,0.3438543975353241,0.7922574877738953,-11.356060981750488,-53.63397216796875,46.70093536376953,0.584168016910553,0.4283250868320465,2854.22021484375,14904.5361328125
resid_post,2,12,0.6984809041023254,0.35633382201194763,0.3421470820903778,-45.50176239013672,-51.95121765136719,-36.64522171020508,0.24568414688110352,0.27300599217414856,2956.03173828125,10996.0302734375
resid_post,2,13,1.1575047969818115,0.7695962190628052,0.3879087567329407,-9.686908721923828,3.7739293575286865,-28.171611785888672,0.25241899490356445,0.37393075227737427,407.3333435058594,4239.13671875
resid_post,3,0,0.8741462230682373,0.557737410068512,0.3164088726043701,-37.949092864990234,-33.03317642211914,-45.0583610534668,0.3479127585887909,0.9872538447380066,13798.4208984375,17718.501953125
resid_post,3,1,2.4747447967529297,0.8210625648498535,1.653681993484497,75.66873931884766,-1.4160585403442383,187.14744567871094,1.2905272245407104,0.9776654839515686,3141.5654296875,13976.5478515625
resid_post,3,2,2.528935670852661,0.6301134824752808,1.8988221883773804,79.51545715332031,-24.34307098388672,229.71389770507812,1.30331552028656,0.9664539694786072,1085.029296875,12855.01171875
resid_post,3,3,2.032946825027466,0.5194340944290161,1.5135127305984497,44.307891845703125,-37.632205963134766,162.8082733154297,1.0694061517715454,0.800213634967804,2609.52978515625,15539.607421875
resid_post,3,4,0.9998762011528015,0.45766353607177734,0.5422127842903137,-29.024200439453125,-45.048919677734375,-5.849483489990234,0.3750736713409424,0.32718297839164734,4126.72265625,12409.044921875
resid_post,3,5,1.2410430908203125,0.9348482489585876,0.3061949610710144,-11.90506649017334,12.246044158935547,-46.83191680908203,0.20064543187618256,0.3262588679790497,608.2321166992188,3454.428466796875
resid_post,3,6,1.5462875366210938,4.167744159698486,-2.6214563846588135,9.762584686279297,400.415771484375,-555.1929931640625,0.6701931953430176,0.9184335470199585,4679.130859375,16.821428298950195
resid_post,3,7,1.025646686553955,0.7939468622207642,0.23169967532157898,-27.19489288330078,-4.671806812286377,-59.76737594604492,0.22681361436843872,0.2960844337940216,2467.34521484375,5636.76806640625
resid_post,3,8,0.0,0.0,0.0,-100.00000762939453,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,3,9,1.955946445465088,0.6679919958114624,1.287954330444336,38.8420524597168,-19.7950496673584,123.64202117919922,0.9270391464233398,0.7117284536361694,1915.892822265625,12638.517578125
resid_post,3,10,1.7674092054367065,0.3868931233882904,1.3805162906646729,25.458816528320312,-53.546234130859375,139.714599609375,1.0537300109863281,0.6394407153129578,1149.255126953125,14227.9228515625
resid_post,3,11,1.276228904724121,0.3725711405277252,0.9036577939987183,-9.407416343688965,-55.26585388183594,56.91228485107422,0.723152220249176,0.5162783265113831,3096.83935546875,15683.5537109375
resid_post,3,12,0.8006569743156433,0.4179829955101013,0.38267403841018677,-43.16569519042969,-49.81331253051758,-33.55199432373047,0.31615641713142395,0.2717633843421936,3282.1435546875,10223.0234375
resid_post,3,13,1.1987203359603882,0.9320002198219299,0.2667200267314911,-14.909330368041992,11.904085159301758,-53.686397552490234,0.21650035679340363,0.38832780718803406,529.3035888671875,3262.96435546875
resid_post,4,0,1.0787458419799805,0.6324631571769714,0.44628265500068665,-26.8892879486084,-28.48583221435547,-24.500606536865234,0.3726285696029663,1.0294687747955322,10698.0732421875,17015.66015625
resid_post,4,1,2.604236364364624,0.8684593439102173,1.7357770204544067,76.49900817871094,-1.8011630773544312,193.64822387695312,1.3322466611862183,0.984725296497345,3311.8154296875,13849.5537109375
resid_post,4,2,2.594712495803833,0.7071967124938965,1.8875157833099365,75.85354614257812,-20.035524368286133,219.3184814453125,1.3290843963623047,1.001441240310669,1354.320068359375,12576.3037109375
resid_post,4,3,2.042685031890869,0.6128567457199097,1.4298282861709595,38.4405403137207,-30.70277976989746,141.88967895507812,1.0277338027954102,0.8696524500846863,3256.303466796875,15051.9169921875
resid_post,4,4,1.0534007549285889,0.548045814037323,0.5053550004959106,-28.60702133178711,-38.03110885620117,-14.507104873657227,0.45570698380470276,0.3728899657726288,4864.04248046875,11681.03515625
