ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,domain
[],14.150403022766113,18.04374122619629,-3.8933379650115967,1.7858738899230957,3.0324721336364746,2.934110641479492,299.0,5771.0,Baseline
"[(10, 7), (11, 10)]",13.97507095336914,14.665453910827637,-0.6903833746910095,1.77864670753479,2.9833762645721436,2.958214521408081,2711.0,3177.0,Ablated
