ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,domain
[],17.212968826293945,18.870729446411133,-1.6577614545822144,1.4531127214431763,1.1211384534835815,1.607445240020752,1736.0,11330.0,Baseline
"[(27, 20)]",17.35129737854004,18.669490814208984,-1.3181960582733154,1.4096473455429077,1.1223622560501099,1.6067808866500854,2366.0,10678.0,Ablated
