ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,domain
[],17.750524520874023,19.286136627197266,-1.5356107950210571,1.2576642036437988,1.140204668045044,1.4351263046264648,11.0,89.0,Baseline
"[(28, 15), (31, 14)]",17.509672164916992,18.64029312133789,-1.1306225061416626,1.1987636089324951,0.8941090106964111,1.418283224105835,15.0,85.0,Ablated
