layer,head,mem_input,cp_input
0,0,0.9475393295288086,-3.1660261154174805
0,0,-15.609560012817383,-19.379560470581055
0,0,-8.700262069702148,-13.516227722167969
0,0,-0.9923019409179688,-3.1861014366149902
0,0,2.9780502319335938,1.7568044662475586
0,0,-7.095392227172852,-13.680355072021484
0,0,29.780609130859375,24.466026306152344
0,0,3.1660261154174805,-0.9475393295288086
0,0,3.7439017295837402,-1.820246934890747
0,0,-4.799086570739746,-8.517922401428223
0,1,15.190543174743652,-25.01284408569336
0,1,12.859668731689453,-9.195690155029297
0,1,14.684307098388672,-11.897588729858398
0,1,9.669071197509766,-6.667110443115234
0,1,9.333517074584961,-8.773910522460938
0,1,1.4653911590576172,-20.37886619567871
0,1,5.705741882324219,-15.852760314941406
0,1,25.01284408569336,-15.190543174743652
0,1,8.435831069946289,-8.617448806762695
0,1,13.911980628967285,-10.83273696899414
0,2,0.38881587982177734,0.42513179779052734
0,2,-7.245090484619141,-10.723594665527344
0,2,-3.038553476333618,-3.7041473388671875
0,2,3.301485538482666,2.8431363105773926
0,2,1.7290940284729004,-0.08767032623291016
0,2,6.886829376220703,4.7852373123168945
0,2,16.036151885986328,11.731884956359863
0,2,-0.42513179779052734,-0.38881587982177734
0,2,4.39536190032959,-4.66119384765625
0,2,-8.227810859680176,-17.554275512695312
0,3,-1.368514060974121,-9.876396179199219
0,3,4.573216438293457,-4.235135078430176
0,3,0.4797039031982422,-15.045162200927734
0,3,4.662199974060059,-2.120108127593994
0,3,7.704311370849609,-0.9231033325195312
0,3,-0.6059169769287109,-15.683097839355469
0,3,13.668831825256348,0.7012510299682617
0,3,9.876396179199219,1.368514060974121
0,3,14.748038291931152,-4.4519195556640625
0,3,7.330447196960449,-7.16500186920166
0,4,21.41194725036621,6.184420585632324
0,4,2.366140842437744,-15.536577224731445
0,4,21.393266677856445,-2.333963394165039
0,4,12.03127670288086,0.06266695261001587
0,4,-8.456707000732422,-23.767303466796875
0,4,1.982079029083252,-17.491111755371094
0,4,18.652318954467773,1.1582441329956055
0,4,-6.184420585632324,-21.41194725036621
0,4,-6.159065246582031,-27.633516311645508
0,4,-2.381885528564453,-18.01736831665039
0,5,-2.5198183059692383,-20.339542388916016
0,5,20.84429168701172,-6.020563125610352
0,5,-2.1158227920532227,-21.160072326660156
0,5,3.5738658905029297,-11.650413513183594
0,5,10.062938690185547,-5.336127758026123
0,5,-4.52027702331543,-23.315834045410156
0,5,12.099832534790039,-1.0025911331176758
0,5,20.339542388916016,2.5198183059692383
0,5,10.345752716064453,-11.289379119873047
0,5,14.37834644317627,-8.84180736541748
0,6,-8.72553539276123,-21.768516540527344
0,6,14.38148307800293,4.828287124633789
0,6,7.340932846069336,1.7194766998291016
0,6,12.825121879577637,5.816993236541748
0,6,-1.989640235900879,-3.6382884979248047
0,6,-1.8776788711547852,-3.403789520263672
0,6,4.014806747436523,-3.619863510131836
0,6,21.768516540527344,8.72553539276123
0,6,-13.1341552734375,-15.651551246643066
0,6,-7.2005534172058105,-10.285221099853516
0,7,-7.977742671966553,-11.578813552856445
0,7,8.309175491333008,6.408903121948242
0,7,-11.101924896240234,-13.453615188598633
