label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L0H0,0,-0.023787589743733406,-0.0005496134981513023,-0.02323797531425953,0.02811393514275551,0.03530355915427208,0.04745062068104744
L0H0,1,-0.0029602176509797573,0.0030881278216838837,-0.006048345938324928,0.030425162985920906,0.02812202461063862,0.03913985937833786
L0H0,2,-0.005898779258131981,0.004723308142274618,-0.010622086003422737,0.027576958760619164,0.023453913629055023,0.03317707031965256
L0H0,3,-0.0099142761901021,-0.0014017006615176797,-0.00851257424801588,0.03761492669582367,0.03473951295018196,0.044874776154756546
L0H0,4,0.002235888037830591,0.0034237420186400414,-0.0011878537479788065,0.023549655452370644,0.021419791504740715,0.02869418077170849
L0H0,5,0.002739127492532134,0.005370202008634806,-0.0026310752145946026,0.023484522476792336,0.023809073492884636,0.029036490246653557
L0H0,6,-0.003183318767696619,0.00472441827878356,-0.007907737046480179,0.02596016228199005,0.02420860342681408,0.028050504624843597
L0H0,7,0.003823792329058051,0.01016317494213581,-0.006339383311569691,0.02222420647740364,0.024013927206397057,0.026256810873746872
L0H0,8,-0.00022639623784925789,-9.051908273249865e-05,-0.0001358771842205897,0.002252614125609398,0.0009006534819491208,0.0013519608182832599
L0H0,9,0.0027000911068171263,0.008630595169961452,-0.005930502433329821,0.0221552811563015,0.023479841649532318,0.02809298224747181
L0H0,10,-0.00125340826343745,0.005488201975822449,-0.006741609890013933,0.016621854156255722,0.01785268820822239,0.020715629681944847
L0H0,11,-0.004445754457265139,0.0017757565947249532,-0.006221510469913483,0.027698878198862076,0.024772128090262413,0.030381077900528908
L0H0,12,0.0037005366757512093,0.005468528252094984,-0.0017679905286058784,0.022623756900429726,0.02123492956161499,0.025695549324154854
L0H0,13,0.003743824316188693,0.006663861218839884,-0.002920035971328616,0.023806951940059662,0.023179758340120316,0.026859289035201073
L0H1,0,-0.12003912031650543,-0.10619205981492996,-0.013847067020833492,0.03797087073326111,0.0319836363196373,0.039775263518095016
L0H1,1,-0.01281424704939127,-0.01581968180835247,0.003005444072186947,0.10765109211206436,0.09577824175357819,0.10592404752969742
L0H1,2,-0.018790466710925102,-0.023532910272479057,0.004742445889860392,0.06345896422863007,0.06639551371335983,0.05295318737626076
L0H1,3,-0.024059873074293137,-0.053119879215955734,0.029060011729598045,0.08085975795984268,0.08874025195837021,0.07754265516996384
L0H1,4,-0.03047657012939453,-0.03045140765607357,-2.5162567908409983e-05,0.040329352021217346,0.043944887816905975,0.044562291353940964
L0H1,5,0.04680236801505089,0.03429074212908745,0.012511628679931164,0.05542170628905296,0.06487418711185455,0.0860685184597969
L0H1,6,0.04181044548749924,0.08426105976104736,-0.04245060682296753,0.06524262577295303,0.07009271532297134,0.07539612799882889
L0H1,7,0.09685816615819931,0.1091630756855011,-0.012304906733334064,0.04103796184062958,0.04162239283323288,0.06021229922771454
L0H1,8,0.0005803601234219968,-0.00012145766959292814,0.0007018176838755608,0.005774510093033314,0.0012084885966032743,0.00698299752548337
