ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,domain
[],14.14538288116455,18.02764129638672,-3.8822567462921143,1.7833168506622314,3.036933183670044,2.932765245437622,297.0,5792.0,Baseline
"[(10, 7), (11, 10)]",13.970769882202148,14.653895378112793,-0.6831251382827759,1.7761971950531006,2.9851863384246826,2.956530809402466,2719.0,3177.0,Ablated
