ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,domain
[],14.147568702697754,18.030506134033203,-3.8829357624053955,1.7845090627670288,3.036320447921753,2.9343767166137695,304.0,5794.0,Baseline
"[(10, 7), (11, 10)]",13.973078727722168,14.655661582946777,-0.6825844645500183,1.7771660089492798,2.9857285022735596,2.9588215351104736,2722.0,3177.0,Ablated
