label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L6H31,10,-0.020883863791823387,-0.002855924190953374,-0.01802794262766838,0.037594784051179886,0.02734525315463543,0.044260937720537186
L6H31,11,-0.01767859049141407,-0.003957375418394804,-0.013721218332648277,0.030699843540787697,0.027935897931456566,0.03980433940887451
L6H31,12,-0.013020726852118969,-0.008058580569922924,-0.004962145816534758,0.017142541706562042,0.016141405329108238,0.022385790944099426
L6H31,13,-0.0040086666122078896,-0.0032867370173335075,-0.0007219291874207556,0.00687845004722476,0.006301459390670061,0.009294247254729271
L7H0,0,0.0013203284470364451,0.0011006384156644344,0.0002196899731643498,0.009149832651019096,0.010676661506295204,0.013710256665945053
L7H0,1,0.0024422546848654747,0.0015596445882692933,0.0008826098055578768,0.00855491403490305,0.009659095667302608,0.012711791321635246
L7H0,2,0.0020749326795339584,0.0011672055115923285,0.0009077269933186471,0.008997811935842037,0.009408921003341675,0.012172800488770008
L7H0,3,0.0016459014732390642,0.001092199352569878,0.0005537021206691861,0.00862189382314682,0.010472331196069717,0.01309775561094284
L7H0,4,0.0008584600291214883,0.001209480338729918,-0.0003510203387122601,0.008993010967969894,0.00987364910542965,0.012512588873505592
L7H0,5,0.003440943779423833,0.0028623854741454124,0.0005785584216937423,0.012223574332892895,0.012272942811250687,0.0160483717918396
L7H0,6,0.0034306743182241917,0.0022386328782886267,0.0011920415563508868,0.010752402245998383,0.010940085165202618,0.013971839100122452
L7H0,7,0.0023303248453885317,0.0028114591259509325,-0.0004811340768355876,0.0074788169004023075,0.009744570590555668,0.01175246573984623
L7H0,8,0.0025145914405584335,0.002004842273890972,0.0005097491084598005,0.005976463668048382,0.006480885669589043,0.008442879654467106
L7H0,9,0.003434601938351989,0.002666118321940303,0.0007684833835810423,0.008175984025001526,0.00864352285861969,0.011074461974203587
L7H0,10,0.0025282655842602253,0.001795611111447215,0.0007326544146053493,0.007674918510019779,0.008328434079885483,0.010422036051750183
L7H0,11,0.003214982571080327,0.0023586207535117865,0.0008563618175685406,0.0083758644759655,0.008999603800475597,0.011321933008730412
L7H0,12,0.0027260619681328535,0.002096491167321801,0.0006295708590187132,0.006767177954316139,0.0068886238150298595,0.008851896971464157
L7H0,13,0.0017937823431566358,0.0015818329993635416,0.00021194928558543324,0.004301668144762516,0.004604917485266924,0.0058968751691281796
L7H1,0,0.0017539224354550242,0.0023192171938717365,-0.0005652945837937295,0.009114283137023449,0.010353075340390205,0.013977126218378544
L7H1,1,0.0015659492928534746,0.0019449506653472781,-0.00037900099414400756,0.007651726249605417,0.008737853728234768,0.011722068302333355
L7H1,2,0.0010297802509739995,0.0019751321524381638,-0.0009453521342948079,0.00897837895900011,0.009973335079848766,0.013124121353030205
L7H1,3,0.0013559105573222041,0.0016836314462125301,-0.000327720888890326,0.008642848581075668,0.008613931946456432,0.01272954698652029
L7H1,4,0.0010298931738361716,0.0011378092458471656,-0.00010791608656290919,0.005246225744485855,0.005865090526640415,0.007968398742377758
L7H1,5,0.0011183889582753181,0.001449763891287148,-0.0003313751658424735,0.00590464286506176,0.006711084861308336,0.009037217125296593
L7H1,6,0.0015742757823318243,0.002148636616766453,-0.0005743606016039848,0.007805679924786091,0.008744628168642521,0.01191785093396902
L7H1,7,0.0009611470741219819,0.0017538268584758043,-0.0007926797843538225,0.006295878905802965,0.007535646203905344,0.00976473093032837
L7H1,8,0.0004714947717729956,0.0007749598007649183,-0.00030346508719958365,0.005386642180383205,0.005944245494902134,0.008008682169020176
L7H1,9,-0.0026613415684551,-0.004258763510733843,0.0015974222915247083,0.026036497205495834,0.025258680805563927,0.03122320957481861
L7H1,10,0.0014933791244402528,-0.006373285781592131,0.007866664789617062,0.05189860239624977,0.05027112364768982,0.06414078921079636
L7H1,11,0.010246937163174152,0.008523283526301384,0.0017236530547961593,0.03307121619582176,0.031400974839925766,0.03741827979683876
L7H1,12,0.0013767281780019403,0.003427243558689952,-0.0020505154971033335,0.006577007006853819,0.009904235601425171,0.010756779462099075
L7H1,13,0.0010768843349069357,0.001224529929459095,-0.00014764537627343088,0.004583506844937801,0.005108959507197142,0.006967248860746622
L7H2,0,0.012097564525902271,0.010572033002972603,0.001525531872175634,0.017679907381534576,0.01792292110621929,0.02451171725988388
L7H2,1,0.009739061817526817,0.008506545796990395,0.0012325161369517446,0.014186037704348564,0.014794307760894299,0.01985953561961651
L7H2,2,0.01008494570851326,0.009136058390140533,0.0009488872601650655,0.01640000380575657,0.016874786466360092,0.021674539893865585
L7H2,3,0.008348927833139896,0.00765998987480998,0.0006889374926686287,0.012409180402755737,0.013064202852547169,0.017709363251924515
L7H2,4,0.006059662438929081,0.0057365624234080315,0.0003231000737287104,0.009201147593557835,0.008912219665944576,0.012201252393424511
L7H2,5,0.007017334923148155,0.006019096355885267,0.0009982382180169225,0.010603522881865501,0.010443544946610928,0.01476327609270811
L7H2,6,0.008688116446137428,0.007756404113024473,0.000931713089812547,0.013588103465735912,0.013170572929084301,0.019126128405332565
L7H2,7,0.006112776696681976,0.004609865602105856,0.0015029116766527295,0.01260121539235115,0.015088096261024475,0.01967988908290863
L7H2,8,0.0034105852246284485,0.0025965142995119095,0.000814070925116539,0.009272156283259392,0.009452888742089272,0.012179132550954819
L7H2,9,0.0033442205749452114,0.0010096944170072675,0.0023345262743532658,0.03555186837911606,0.0369860865175724,0.04644383117556572
L7H2,10,-0.001340407063253224,0.0006439632270485163,-0.0019843699410557747,0.035566966980695724,0.03910746052861214,0.047475989907979965
L7H2,11,-0.006247473880648613,-0.001560121774673462,-0.004687352105975151,0.029125485569238663,0.029228370636701584,0.03872902691364288
L7H2,12,-0.001208916655741632,-0.0012935397680848837,8.462315599899739e-05,0.012962976470589638,0.012723255902528763,0.015379042364656925
L7H2,13,0.0034883765038102865,0.003058417234569788,0.0004299597057979554,0.006509966682642698,0.0068597737699747086,0.009307258762419224
L7H3,0,-0.0003349522012285888,-0.0048730806447565556,0.0045381286181509495,0.024092381820082664,0.024395117536187172,0.03013714961707592
L7H3,1,-0.0049755326472222805,-0.005802348256111145,0.000826815259642899,0.014758361503481865,0.01497148722410202,0.01937110349535942
L7H3,2,-0.005767228547483683,-0.0039786905981600285,-0.0017885382985696197,0.015500162728130817,0.01644180342555046,0.019969921559095383
