label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L0H0,0,0.0035479608923196793,3.53094692400191e-05,0.003512651426717639,0.02582988515496254,0.03171852231025696,0.04183424636721611
L0H0,1,0.008058015257120132,0.012324168346822262,-0.004266153089702129,0.02218540944159031,0.03328116983175278,0.037119220942258835
L0H0,2,0.012667451985180378,0.017613520845770836,-0.004946068860590458,0.018516816198825836,0.03453316539525986,0.03603611886501312
L0H0,3,0.018043721094727516,0.017581433057785034,0.0004622898995876312,0.02323335036635399,0.02865123189985752,0.032691240310668945
L0H0,4,0.013997387140989304,0.010002476163208485,0.00399490911513567,0.01383538730442524,0.024615351110696793,0.02443731762468815
L0H0,5,0.012608632445335388,0.010456087067723274,0.0021525430493056774,0.014826032333076,0.022468429058790207,0.021123012527823448
L0H0,6,0.01084858551621437,0.018414190039038658,-0.007565603591501713,0.016223734244704247,0.02407766319811344,0.025460178032517433
L0H0,7,0.011445761658251286,0.01506661158055067,-0.0036208482924848795,0.017710313200950623,0.025292083621025085,0.025940127670764923
L0H0,8,0.0002194466651417315,0.0001302103337366134,8.92362731974572e-05,0.0014309888938441873,0.0019864076748490334,0.0018529024673625827
L0H0,9,0.010493725538253784,0.017138121649622917,-0.006644397974014282,0.016856467351317406,0.02331821620464325,0.026144277304410934
L0H0,10,0.01156458631157875,0.016237759962677956,-0.004673173185437918,0.02119007520377636,0.024524955078959465,0.02651953510940075
L0H0,11,0.01286412961781025,0.016194140538573265,-0.003330009989440441,0.015490424819290638,0.020672684535384178,0.021995948627591133
L0H0,12,0.01102136168628931,0.009818114340305328,0.0012032459490001202,0.017563864588737488,0.025515254586935043,0.026928629726171494
L0H0,13,0.014204589650034904,0.014372647739946842,-0.00016805728955660015,0.021051310002803802,0.02782975696027279,0.027604732662439346
L0H1,0,-0.1083708107471466,-0.09941413998603821,-0.008956680074334145,0.03238946199417114,0.041147928684949875,0.05233943089842796
L0H1,1,-0.049945443868637085,-0.07716591656208038,0.02722047083079815,0.09682551771402359,0.10580962896347046,0.10733597725629807
L0H1,2,-0.07325390726327896,-0.0684177502989769,-0.004836160223931074,0.07391929626464844,0.07467997819185257,0.07761815190315247
L0H1,3,-0.01384663861244917,-0.026606297120451927,0.01275965478271246,0.08038938045501709,0.08518944680690765,0.07159300893545151
L0H1,4,0.029694147408008575,0.02802632562816143,0.0016678194515407085,0.034366946667432785,0.04548624902963638,0.038259830325841904
L0H1,5,0.044131089001894,0.04913888871669769,-0.00500780064612627,0.05921643599867821,0.057015251368284225,0.07536051422357559
L0H1,6,0.03498082607984543,0.10170137137174606,-0.06672053784132004,0.05683030188083649,0.06080510839819908,0.07459621131420135
L0H1,7,0.08652251958847046,0.09887702018022537,-0.012354504317045212,0.04927869513630867,0.04139008745551109,0.06511803716421127
L0H1,8,-0.000483961048303172,-0.0003143333306070417,-0.00016962754307314754,0.010067738592624664,0.003349823411554098,0.006998548284173012
L0H1,9,-0.039258018136024475,-0.05801243707537651,0.018754413351416588,0.07711131870746613,0.08135159313678741,0.08085454255342484
L0H1,10,-0.051702212542295456,-0.04749874770641327,-0.00420346250757575,0.054949067533016205,0.05312158539891243,0.05573733150959015
L0H1,11,-0.006377352401614189,-0.015238597989082336,0.008861247450113297,0.05717374011874199,0.05609875172376633,0.05218927562236786
L0H1,12,0.01699303276836872,0.01703883521258831,-4.5805692934663966e-05,0.039399828761816025,0.05013508349657059,0.042081352323293686
L0H1,13,0.05343407765030861,0.0626700222492218,-0.009235941804945469,0.06856058537960052,0.06824127584695816,0.09164857119321823
L0H2,0,-0.018730930984020233,-0.027065934613347054,0.00833500549197197,0.03091198392212391,0.030688071623444557,0.043115563690662384
