ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,domain
[],14.148027420043945,18.042451858520508,-3.8944239616394043,1.7861710786819458,3.033834218978882,2.93229603767395,293.0,5774.0,Baseline
"[(10, 7), (11, 10)]",13.974575996398926,14.663900375366211,-0.6893236637115479,1.7782243490219116,2.9853224754333496,2.959428310394287,2707.0,3175.0,Ablated
