component,layer,position,mem,cp,diff,mem_perc,cp_perc,diff_perc,mem_std,cp_std,mem_idx,cp_idx
resid_post,5,3,1.5852937698364258,0.3414490222930908,1.243844747543335,29.460060119628906,-62.48525619506836,295.6627197265625,0.19527806341648102,0.6769227385520935,1501.5,18489.833984375
resid_post,5,4,1.0964959859848022,0.6763942837715149,0.42010170221328735,-10.45669937133789,-25.685075759887695,33.632896423339844,0.09857667982578278,0.48064786195755005,2794.117431640625,9113.826171875
resid_post,5,5,1.6215986013412476,1.2931756973266602,0.3284229338169098,32.424827575683594,42.08022689819336,4.4701972007751465,0.3495074212551117,0.44964367151260376,524.7380981445312,3067.02392578125
resid_post,5,6,1.4012573957443237,4.059791564941406,-2.658534526824951,14.431074142456055,346.0461730957031,-945.6705932617188,0.6791687607765198,0.585110068321228,7470.76171875,47.02381134033203
resid_post,5,7,1.0655173063278198,1.0231150388717651,0.04240230843424797,-12.986515045166016,12.408868789672852,-86.51197814941406,0.29129377007484436,0.3487299978733063,4727.09521484375,5755.52392578125
resid_post,5,8,0.0,0.0,0.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,5,9,2.120497465133667,0.7632858753204346,1.357211709022522,73.16647338867188,-16.138362884521484,331.72430419921875,0.26109930872917175,0.5572868585586548,272.6190490722656,10702.3330078125
resid_post,5,10,0.18714676797389984,0.08088003844022751,0.10626672208309174,-84.71700286865234,-91.11376953125,-66.1969223022461,0.4384433627128601,0.30761808156967163,852.6904907226562,2688.071533203125
resid_post,5,11,0.9343442320823669,0.26602092385292053,0.6683233380317688,-23.698518753051758,-70.77247619628906,112.59133911132812,0.21150356531143188,0.4454483687877655,4899.9287109375,18564.666015625
resid_post,5,12,0.5949007868766785,0.49218472838401794,0.1027161180973053,-51.41853713989258,-45.924041748046875,-67.32636260986328,0.1301339566707611,0.35405614972114563,6958.59130859375,10852.4365234375
resid_post,5,13,1.5252065658569336,1.8839037418365479,-0.35869717597961426,24.553152084350586,106.98306274414062,-214.10032653808594,0.239774689078331,0.5019485950469971,684.1904907226562,637.2142944335938
resid_post,6,0,1.556721806526184,0.7194586992263794,0.8372629880905151,7.2791290283203125,-36.5726432800293,164.29493713378906,0.5195688605308533,0.961942195892334,8257.8095703125,16042.857421875
resid_post,6,1,3.1982338428497314,1.0969114303588867,2.1013224124908447,120.40145111083984,-3.2964742183685303,563.3147583007812,0.10833657532930374,0.8434041142463684,112.47618865966797,10747.4521484375
resid_post,6,2,0.42040687799453735,0.1638963520526886,0.25651055574417114,-71.02828979492188,-85.5509262084961,-19.02849578857422,0.9537711143493652,0.5574102401733398,269.9047546386719,2326.40478515625
resid_post,6,3,1.913698434829712,0.49621155858039856,1.4174870252609253,31.8796329498291,-56.25407791137695,347.45159912109375,0.24949529767036438,0.7309830784797668,1147.9761962890625,16804.333984375
resid_post,6,4,1.4725420475006104,0.8181502223014832,0.6543917059898376,1.4780082702636719,-27.87201499938965,106.56880950927734,0.21239982545375824,0.5661534070968628,1523.5377197265625,8665.390625
resid_post,6,5,2.178767681121826,1.724256992340088,0.4545109272003174,50.146480560302734,52.01020431518555,43.47336959838867,0.4188046157360077,0.5772920846939087,170.07142639160156,2486.02392578125
resid_post,6,6,1.4376206398010254,4.405767440795898,-2.9681477546691895,-0.9285476803779602,288.4117126464844,-1036.9415283203125,0.6899629831314087,0.6582414507865906,8047.14306640625,66.45237731933594
resid_post,6,7,1.327055811882019,1.3474527597427368,-0.0203968808054924,-8.547955513000488,18.79120635986328,-106.43859100341797,0.21984685957431793,0.4104275703430176,3268.761962890625,4122.14306640625
resid_post,6,8,0.0,0.0,0.0,-100.00000762939453,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,6,9,2.3215155601501465,0.8988297581672668,1.4226856231689453,59.983734130859375,-20.759321212768555,349.0926208496094,0.22331582009792328,0.5640059113502502,343.6190490722656,10136.380859375
resid_post,6,10,0.22940488159656525,0.1005047857761383,0.12890012562274933,-84.19091033935547,-91.13951873779297,-59.310691833496094,0.5683192014694214,0.4002557694911957,1040.261962890625,2703.833251953125
resid_post,6,11,1.1169763803482056,0.551563024520874,0.5654134750366211,-23.02526092529297,-51.374298095703125,78.48146057128906,0.253676176071167,0.5187504887580872,4557.6904296875,13625.5712890625
resid_post,6,12,0.8445276618003845,0.7946265935897827,0.0499010868370533,-41.80065155029297,-29.94585418701172,-84.2479476928711,0.14050480723381042,0.44524699449539185,5153.5634765625,7871.32568359375
resid_post,6,13,2.2978529930114746,2.7626187801361084,-0.4647653102874756,58.353065490722656,143.552001953125,-246.7103271484375,0.33137860894203186,0.741476833820343,113.9047622680664,375.80950927734375
resid_post,7,0,1.7321784496307373,0.934353768825531,0.7978246808052063,-2.9156572818756104,-35.359832763671875,135.53382873535156,0.597314715385437,1.0369701385498047,7583.380859375,14665.556640625
resid_post,7,1,3.535489797592163,1.1195719242095947,2.4159181118011475,98.15550231933594,-22.546127319335938,613.2274780273438,0.1252272129058838,0.8912792205810547,181.09524536132812,11916.73828125
resid_post,7,2,0.4265080392360687,0.16199247539043427,0.26451554894447327,-76.09526824951172,-88.7930908203125,-21.909709930419922,0.985359787940979,0.531595766544342,425.30950927734375,2393.333251953125
resid_post,7,3,2.2141549587249756,0.663838803768158,1.5503160953521729,24.09794044494629,-54.07451248168945,357.68438720703125,0.30821698904037476,0.7804213762283325,1432.4285888671875,15515.142578125
resid_post,7,4,1.7700284719467163,1.0351499319076538,0.7348787188529968,-0.7942566275596619,-28.38658332824707,116.950927734375,0.3233577311038971,0.6935795545578003,1650.3135986328125,8331.185546875
resid_post,7,5,2.770792007446289,2.1793060302734375,0.5914862155914307,55.296077728271484,50.768062591552734,74.61858367919922,0.4785405993461609,0.699006199836731,104.23809814453125,2032.4285888671875
resid_post,7,6,1.957763671875,4.9271368980407715,-2.9693737030029297,9.727839469909668,240.8676300048828,-976.6185913085938,0.7431707382202148,0.7283839583396912,5643.47607421875,64.76190185546875
resid_post,7,7,1.7956922054290771,1.6856006383895874,0.11009141057729721,0.6441325545310974,16.612693786621094,-67.49880981445312,0.28625500202178955,0.4543837904930115,2187.40478515625,3441.071533203125
resid_post,7,8,0.0,0.0,0.0,-99.99999237060547,-100.0,-100.0,0.0,0.0,0.0,0.0
