label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L0H0,0,0.005600454285740852,-0.07694219797849655,0.08254263550043106,,,
L0H0,1,0.045400626957416534,-0.034959401935338974,0.08036002516746521,,,
L0H0,2,0.045666374266147614,-0.033874548971652985,0.07954091578722,,,
L0H0,3,0.06291060894727707,-0.02889622375369072,0.09180682897567749,,,
L0H0,4,0.03132165968418121,-0.030081331729888916,0.06140298768877983,,,
L0H0,5,0.03117968887090683,-0.048183515667915344,0.07936319708824158,,,
L0H0,6,0.02179507166147232,-0.06120680272579193,0.08300187438726425,,,
L0H0,7,0.04094909876585007,-0.06397878378629684,0.10492787510156631,,,
L0H0,8,0.0,0.0,0.0,,,
L0H0,9,0.026833178475499153,-0.017866991460323334,0.04470016434788704,,,
L0H0,10,0.029174286872148514,-0.0242126677185297,0.05338694900274277,,,
L0H0,11,0.04319450259208679,-0.021512627601623535,0.06470712274312973,,,
L0H0,12,0.04318849742412567,-0.05090751871466637,0.09409601986408234,,,
L0H0,13,0.041851677000522614,-0.06493441760540009,0.1067860946059227,,,
L0H1,0,-0.13072186708450317,-0.050610434263944626,-0.08011141419410706,,,
L0H1,1,-0.0015975162386894226,0.11797426640987396,-0.11957179009914398,,,
L0H1,2,-0.08752848207950592,-0.028055718168616295,-0.059472762048244476,,,
L0H1,3,-0.009359417483210564,0.0043111927807331085,-0.013670604676008224,,,
L0H1,4,-0.10686942934989929,-0.06208207458257675,-0.04478734731674194,,,
L0H1,5,-0.022141549736261368,0.02049768902361393,-0.042639244347810745,,,
L0H1,6,-0.10050143301486969,0.0724298357963562,-0.1729312688112259,,,
L0H1,7,0.06310799717903137,0.09502290934324265,-0.03191491961479187,,,
L0H1,8,0.0,0.0,0.0,,,
L0H1,9,-0.00031181611120700836,0.08366023004055023,-0.08397204428911209,,,
L0H1,10,-0.07541333138942719,-0.026139646768569946,-0.049273669719696045,,,
L0H1,11,-0.006080453284084797,0.001721605658531189,-0.00780206173658371,,,
L0H1,12,-0.14961418509483337,-0.10539688915014267,-0.044217292219400406,,,
L0H1,13,-0.0256471186876297,0.02144519053399563,-0.04709230735898018,,,
L0H2,0,-0.04762806370854378,-0.031943369656801224,-0.015684695914387703,,,
L0H2,1,-0.04061063751578331,-0.045790933072566986,0.005180293694138527,,,
L0H2,2,-0.05466325208544731,-0.03478608280420303,-0.01987716555595398,,,
L0H2,3,-0.06844431906938553,-0.05263329669833183,-0.015811007469892502,,,
L0H2,4,-0.030210554599761963,-0.04178464412689209,0.011574091389775276,,,
L0H2,5,0.005396927706897259,-0.016105614602565765,0.02150253765285015,,,
L0H2,6,-0.08150789141654968,-0.01434339489787817,-0.06716449558734894,,,
L0H2,7,-0.0011963993310928345,-0.017593437805771828,0.016397036612033844,,,
L0H2,8,0.0,0.0,0.0,,,
L0H2,9,-0.03257134184241295,-0.031783781945705414,-0.0007875561714172363,,,
L0H2,10,-0.04191669821739197,-0.02561705932021141,-0.01629963144659996,,,
L0H2,11,-0.05912511423230171,-0.03454398363828659,-0.02458113804459572,,,
L0H2,12,-0.005193614400923252,-0.01970147341489792,0.014507858082652092,,,
L0H2,13,0.013882620260119438,-0.009500348940491676,0.023382969200611115,,,
L0H3,0,-0.13100840151309967,-0.10635191202163696,-0.024656489491462708,,,
L0H3,1,0.07495251297950745,0.06216799467802048,0.012784495949745178,,,
L0H3,2,-0.03677014634013176,0.043005697429180145,-0.0797758549451828,,,
L0H3,3,-0.04140093922615051,-0.01908557303249836,-0.022315381094813347,,,
L0H3,4,-0.07224995642900467,-0.021049723029136658,-0.05120023712515831,,,
L0H3,5,-0.04160023480653763,-0.016573408618569374,-0.025026826187968254,,,
L0H3,6,0.009658485651016235,0.24427205324172974,-0.2346135675907135,,,
L0H3,7,-0.034051112830638885,0.025164373219013214,-0.0592154860496521,,,
L0H3,8,0.0,0.0,0.0,,,
L0H3,9,0.056579072028398514,0.05687228590250015,-0.00029321759939193726,,,
L0H3,10,-0.02979036420583725,0.051155220717191696,-0.08094558119773865,,,
L0H3,11,-0.032850559800863266,-0.006317651830613613,-0.026532907038927078,,,
L0H3,12,-0.025370795279741287,-0.0024769147858023643,-0.022893894463777542,,,
L0H3,13,-0.05319995433092117,-0.008801097981631756,-0.044398851692676544,,,
L0H4,0,-0.010069973766803741,-0.06700398772954941,0.056934017688035965,,,
L0H4,1,0.2232683300971985,0.006923539564013481,0.21634480357170105,,,
L0H4,2,-0.0028800442814826965,0.004641711711883545,-0.007521763443946838,,,
L0H4,3,0.030015945434570312,-0.014913558959960938,0.04492950439453125,,,
L0H4,4,0.02755531296133995,-0.003788840025663376,0.031344152987003326,,,
L0H4,5,0.01923193596303463,-0.008735021576285362,0.02796695940196514,,,
L0H4,6,-0.04771599918603897,-0.018077541142702103,-0.029638446867465973,,,
L0H4,7,0.02439035102725029,-0.036046430468559265,0.060436785221099854,,,
L0H4,8,0.0,0.0,0.0,,,
L0H4,9,0.1440855860710144,0.003952632658183575,0.14013297855854034,,,
L0H4,10,-0.00678996741771698,0.006582118570804596,-0.013372071087360382,,,
L0H4,11,0.019665395841002464,-0.013082515448331833,0.03274792060256004,,,
L0H4,12,0.02835390903055668,0.004803463816642761,0.023550447076559067,,,
L0H4,13,0.02516716532409191,-0.007649831473827362,0.032816991209983826,,,
L0H5,0,0.04882967472076416,-0.04094045236706734,0.08977013826370239,,,
L0H5,1,0.06366173923015594,-0.0030567049980163574,0.06671847403049469,,,
L0H5,2,-0.039650797843933105,-0.07637002319097519,0.03671922907233238,,,
L0H5,3,-0.040584295988082886,-0.08717332035303116,0.04658903926610947,,,
L0H5,4,-0.005963598378002644,-0.11568604409694672,0.10972245037555695,,,
L0H5,5,0.046576984226703644,-0.05158123001456261,0.09815821051597595,,,
L0H5,6,0.049931131303310394,0.06466799229383469,-0.014736849814653397,,,
L0H5,7,0.04789680615067482,-0.05720271170139313,0.10509953647851944,,,
L0H5,8,0.0,0.0,0.0,,,
L0H5,9,0.04270181432366371,0.0028989650309085846,0.039802856743335724,,,
L0H5,10,-0.036607928574085236,-0.06332558393478394,0.026717659085989,,,
L0H5,11,-0.033375199884176254,-0.06417878717184067,0.03080359660089016,,,
L0H5,12,0.008719935081899166,-0.1226653978228569,0.13138532638549805,,,
L0H5,13,0.05801179260015488,-0.06443911790847778,0.12245091050863266,,,
L0H6,0,0.04887840151786804,-0.0043457746505737305,0.05322417989373207,,,
L0H6,1,0.052820004522800446,-4.023313522338867e-06,0.05282403528690338,,,
L0H6,2,0.0446348711848259,0.018949195742607117,0.025685660541057587,,,
L0H6,3,0.09133362025022507,0.056775107979774475,0.03455851972103119,,,
