label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L0H0,0,-0.03792031481862068,0.008836638182401657,-0.04675695300102234,0.0,0.01577935926616192,0.01577935926616192
L0H0,1,-0.011490804143249989,-0.026613017544150352,0.015122219920158386,0.0,0.020677020773291588,0.020677020773291588
L0H0,2,0.00023672636598348618,-0.00704987533390522,0.0072866021655499935,0.0,0.027805885300040245,0.027805881574749947
L0H0,3,0.006348645780235529,-0.0225385669618845,0.028887217864394188,5.703162941905759e-10,0.021334201097488403,0.021334191784262657
L0H0,4,0.004310757853090763,-0.007791771087795496,0.012102528475224972,0.0,0.014188499189913273,0.014188497327268124
L0H0,5,0.00115915946662426,-0.008347530849277973,0.00950668752193451,0.0,0.012639925815165043,0.012639925815165043
L0H0,6,-0.01456377375870943,-0.010200838558375835,-0.004362933803349733,0.0013752277009189129,0.026207080110907555,0.024847829714417458
L0H0,7,-0.005546023603528738,-0.012250036932528019,0.006704017519950867,0.007061278913170099,0.009475098922848701,0.011841757223010063
L0H0,8,0.0,0.0,0.0,0.0,0.0,0.0
L0H0,9,-0.007810269948095083,-0.020382767543196678,0.012572499923408031,0.006516790017485619,0.013946941122412682,0.014670406468212605
L0H0,10,-0.0009406011668033898,-0.0089883329346776,0.008047729730606079,0.004102516453713179,0.014426016248762608,0.011147514916956425
L0H0,11,0.005724980030208826,-0.02007150836288929,0.02579648792743683,0.001387127093039453,0.014630752615630627,0.013894063420593739
L0H0,12,0.0035500021185725927,-0.0076729245483875275,0.01122292410582304,0.0026183670852333307,0.009832477197051048,0.010758839547634125
L0H0,13,-0.0008513632346875966,-0.011961749754846096,0.011110387742519379,0.003540166886523366,0.008914761245250702,0.01033052708953619
L0H1,0,-0.11942648887634277,-0.12699036300182343,0.0075638690032064915,0.0,0.014875531196594238,0.014875521883368492
L0H1,1,-0.2545222043991089,-0.3059857189655304,0.051463525742292404,0.0,0.041471973061561584,0.041471999138593674
L0H1,2,-0.05368874967098236,-0.14194470643997192,0.08825594186782837,0.0,0.009315167553722858,0.009315170347690582
L0H1,3,-0.18712370097637177,-0.10045826435089111,-0.08666545152664185,0.0,0.11598042398691177,0.11598041653633118
L0H1,4,-0.07243555784225464,-0.04265139624476433,-0.02978415973484516,0.0,0.03618023172020912,0.03618023172020912
L0H1,5,0.12167742103338242,0.13013967871665955,-0.008462239988148212,0.0,0.04816501587629318,0.04816502332687378
L0H1,6,-0.01908365823328495,0.12277869135141373,-0.14186234772205353,0.04834378883242607,0.11787066608667374,0.1023261770606041
L0H1,7,0.11623678356409073,0.12995590269565582,-0.013719126582145691,0.0009561420883983374,0.045578885823488235,0.04637296870350838
L0H1,8,0.0,0.0,0.0,0.0,0.0,0.0
L0H1,9,-0.1783064603805542,-0.20861196517944336,0.03030548430979252,0.0016783950850367546,0.0268870797008276,0.026571618393063545
L0H1,10,-0.026373112574219704,-0.06809280067682266,0.04171968623995781,0.00030296784825623035,0.0058046081103384495,0.0059507437981665134
L0H1,11,-0.12137606739997864,-0.06304227560758591,-0.05833379924297333,0.0008783444063737988,0.07552207261323929,0.07530432939529419
L0H1,12,-0.07416581362485886,-0.022846132516860962,-0.051319677382707596,0.0009830272756516933,0.006692701485008001,0.007540232036262751
L0H1,13,0.10668620467185974,0.11793113499879837,-0.011244933120906353,0.004236289300024509,0.03704654425382614,0.03929956629872322
L0H2,0,-0.037410859018564224,-0.03692132607102394,-0.0004895279998891056,0.0,0.03693868964910507,0.03693868964910507
L0H2,1,-0.014459911733865738,-0.06597695499658585,0.05151704326272011,0.0,0.012800764292478561,0.01280076801776886
L0H2,2,-0.08723065257072449,-0.08182359486818314,-0.005407050717622042,0.0,0.03668931499123573,0.03668931499123573
L0H2,3,-0.041545309126377106,-0.03679017722606659,-0.004755139816552401,0.0,0.03580550104379654,0.035805508494377136
L0H2,4,-0.035257838666439056,-0.04311372712254524,0.00785589125007391,0.0,0.012392706237733364,0.01239270530641079
L0H2,5,-0.026380708441138268,-0.019263392314314842,-0.007117314264178276,0.0,0.0187517236918211,0.0187517236918211
L0H2,6,-0.049687739461660385,-0.019642380997538567,-0.030045360326766968,0.018463438376784325,0.015460471622645855,0.0307479090988636
L0H2,7,-0.04440471529960632,-0.03220176696777344,-0.012202945537865162,0.002754542510956526,0.01775362715125084,0.019649410620331764
L0H2,8,0.0,0.0,0.0,0.0,0.0,0.0
L0H2,9,0.009004783816635609,-0.029041022062301636,0.03804580867290497,0.008516172878444195,0.02561686933040619,0.018499702215194702
L0H2,10,-0.02332005463540554,-0.02145596407353878,-0.001864092075265944,0.006746742408722639,0.007678857538849115,0.009133595041930676
L0H2,11,-0.024433644488453865,-0.016164692118763924,-0.008268955163657665,0.0074447644874453545,0.018482211977243423,0.02248651720583439
L0H2,12,-0.02107996679842472,-0.025360727682709694,0.004280764143913984,0.0014207675121724606,0.014111380092799664,0.014207621105015278
L0H2,13,-0.01220782846212387,-0.010956916026771069,-0.0012509152293205261,0.001376342959702015,0.019241617992520332,0.018774686381220818
L0H3,0,-0.038159746676683426,-0.056564971804618835,0.01840522326529026,0.0,0.01764989085495472,0.01764989085495472
L0H3,1,-0.07991369068622589,-0.048730745911598206,-0.031182939186692238,0.0,0.039336662739515305,0.039336659014225006
L0H3,2,-0.13908587396144867,-0.17806895077228546,0.038983047008514404,0.0,0.052865441888570786,0.052865441888570786
L0H3,3,0.11704649776220322,0.002594501944258809,0.11445199698209763,9.125060707049215e-09,0.029028737917542458,0.02902873419225216
L0H3,4,-0.02801227569580078,-0.019413601607084274,-0.008598669432103634,0.0,0.015369821339845657,0.015369825065135956
L0H3,5,-0.017750080674886703,-0.02825102023780346,0.010500933974981308,0.0,0.007358074188232422,0.007358069997280836
L0H3,6,-0.02060575783252716,0.03208436816930771,-0.05269012972712517,0.045956384390592575,0.01491717342287302,0.034897513687610626
L0H3,7,-0.008705315180122852,-0.010734607465565205,0.00202928832732141,0.0067002964206039906,0.008982030674815178,0.014969559386372566
L0H3,8,0.0,0.0,0.0,0.0,0.0,0.0
L0H3,9,-0.045815497636795044,-0.019060583785176277,-0.026754917576909065,0.00029540868126787245,0.026100827381014824,0.026396244764328003
L0H3,10,-0.061866726726293564,-0.08139205724000931,0.01952533796429634,0.0004879420739598572,0.025475386530160904,0.025767220184206963
L0H3,11,0.08602478355169296,0.005327221471816301,0.08069753646850586,0.0005920703406445682,0.019358603283762932,0.01994638703763485
L0H3,12,0.009275134652853012,-0.013502540998160839,0.022777674719691277,0.00011583683954086155,0.020249787718057632,0.020248152315616608
L0H3,13,-0.009925073944032192,-0.022368885576725006,0.01244381070137024,0.0003926419303752482,0.010425734333693981,0.01003609411418438
L0H4,0,-0.004014724399894476,-0.026072196662425995,0.02205747924745083,0.0,0.014379894360899925,0.014379896223545074
L0H4,1,0.03913241997361183,-0.11454210430383682,0.15367452800273895,0.0,0.01099853403866291,0.010998530313372612
L0H4,2,0.11530186980962753,-0.019632304087281227,0.13493415713310242,0.0,0.014201737008988857,0.014201738871634007
L0H4,3,0.048444151878356934,-0.026199987158179283,0.07464414089918137,0.0,0.05039553716778755,0.05039553344249725
L0H4,4,0.06253024935722351,-0.006300448905676603,0.0688306987285614,0.0,0.013850174844264984,0.013850170187652111
L0H4,5,0.057009775191545486,-0.011126226745545864,0.06813599914312363,4.5625303535246076e-09,0.012953368946909904,0.012953372672200203
L0H4,6,0.03333846852183342,0.12845277786254883,-0.09511429816484451,0.0650915652513504,0.051153846085071564,0.049687936902046204
L0H4,7,0.05238240957260132,0.024297013878822327,0.02808539569377899,0.002985808765515685,0.006708935834467411,0.009438971057534218
L0H4,8,0.0,0.0,0.0,0.0,0.0,0.0
L0H4,9,0.028128033503890038,-0.082828089594841,0.110956110060215,0.00025398904108442366,0.011337275616824627,0.011589089408516884
L0H4,10,0.05384005233645439,-0.01062407810240984,0.06446412950754166,0.0010011433623731136,0.008004041388630867,0.008692179806530476
L0H4,11,0.030842481181025505,-0.019057122990489006,0.04989960417151451,0.00022011029068380594,0.03504686430096626,0.03526684269309044
L0H4,12,0.03929586336016655,0.027993017807602882,0.011302848346531391,0.0012316840002313256,0.017312664538621902,0.01809908263385296
L0H4,13,0.05311335250735283,-0.006296219304203987,0.059409573674201965,0.0021158030722290277,0.013255110941827297,0.01424163393676281
L0H5,0,-0.13286152482032776,-0.06723783910274506,-0.0656237080693245,0.0,0.04362556338310242,0.043625567108392715
L0H5,1,-0.14003902673721313,-0.0932663306593895,-0.04677267372608185,0.0,0.01911996677517891,0.01911996491253376
L0H5,2,-0.19589602947235107,-0.1854257583618164,-0.010470271110534668,0.0,0.011070787906646729,0.01107079442590475
