ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,domain
[],14.002081871032715,17.421483993530273,-3.4194014072418213,1.6666631698608398,2.5379788875579834,2.6113078594207764,380.0,5676.0,Baseline
"[(10, 7), (11, 10)]",13.83845043182373,14.14203929901123,-0.3035883903503418,1.648793339729309,2.499793529510498,2.619351625442505,2888.0,2870.0,Ablated
