domain,ablation_layer_heads,mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win
Arts_and_Entertainment,"[(10, 7), (11, 10)]",14.267244338989258,17.0792236328125,-2.811979055404663,1.7795902490615845,2.8863213062286377,3.0324721336364746,5.0,21.0
Autos_and_Vehicles,"[(10, 7), (11, 10)]",14.407720565795898,15.813470840454102,-1.405749797821045,3.8713135719299316,5.855957508087158,1.984643816947937,0.0,1.0
Books_and_Literature,"[(10, 7), (11, 10)]",13.306246757507324,16.725908279418945,-3.4196619987487793,0.2849356234073639,3.5598232746124268,3.2748875617980957,0.0,2.0
Business_and_Industrial,"[(10, 7), (11, 10)]",12.75372314453125,15.359890937805176,-2.6061649322509766,2.352132797241211,2.4525609016418457,3.105701446533203,3.0,13.0
Computers_and_Electronics,"[(10, 7), (11, 10)]",13.742965698242188,12.593692779541016,1.1492738723754883,1.4167264699935913,1.8503249883651733,3.16052508354187,8.0,1.0
Jobs_and_Education,"[(10, 7), (11, 10)]",14.530054092407227,18.12567901611328,-3.5956244468688965,1.7050219774246216,3.265692949295044,3.6805973052978516,4.0,21.0
Law_and_Government,"[(10, 7), (11, 10)]",15.282830238342285,18.14415168762207,-2.8613200187683105,1.7340060472488403,2.7429959774017334,2.22318696975708,5.0,39.0
News,"[(10, 7), (11, 10)]",13.878244400024414,16.28682518005371,-2.408581256866455,2.248342514038086,1.9072492122650146,2.087001323699951,1.0,13.0
People_and_Society,"[(10, 7), (11, 10)]",15.288385391235352,16.248502731323242,-0.9601176977157593,1.8516416549682617,2.558624744415283,2.555758476257324,6.0,17.0
Sensitive_Subjects,"[(10, 7), (11, 10)]",9.750638008117676,15.617365837097168,-5.86672830581665,0.6688165664672852,1.4232752323150635,1.0832281112670898,0.0,6.0
Sports,"[(10, 7), (11, 10)]",14.258309364318848,16.857892990112305,-2.5995829105377197,2.0377731323242188,2.403571844100952,1.9668796062469482,4.0,49.0
Travel_and_Transportation,"[(10, 7), (11, 10)]",13.817081451416016,16.030414581298828,-2.2133331298828125,2.9669244289398193,0.341704398393631,2.6252200603485107,0.0,2.0
