component,layer,position,mem,cp,diff,mem_perc,cp_perc,diff_perc,mem_std,cp_std,mem_idx,cp_idx
resid_post,0,0,-0.31598764657974243,-0.23803283274173737,-0.07795477658510208,-142.16102600097656,-141.9020538330078,-142.9720001220703,0.3630291521549225,0.41769275069236755,31459.244140625,29456.248046875
resid_post,0,1,4.352950572967529,1.259324073791504,3.0936264991760254,480.7976989746094,121.68480682373047,1605.3389892578125,1.4316328763961792,0.7995440363883972,29.029294967651367,6080.02978515625
resid_post,0,2,0.49601107835769653,0.15694178640842438,0.3390692472457886,-33.81911849975586,-72.37279510498047,86.90946197509766,0.7059862017631531,0.5787147879600525,12912.736328125,19004.263671875
resid_post,0,3,0.2811942994594574,0.1378793865442276,0.1433149129152298,-62.48130798339844,-75.72843933105469,-20.998695373535156,0.5721077919006348,0.5027139186859131,18575.9453125,21925.3515625
resid_post,0,4,0.1322784721851349,0.11059427261352539,0.021684208884835243,-82.35057830810547,-80.53156280517578,-88.04673767089844,0.23310071229934692,0.2865249812602997,20606.455078125,21063.9296875
resid_post,0,5,0.24561727046966553,0.26221156120300293,-0.01659429259598255,-67.22821807861328,-53.841651916503906,-109.1474838256836,0.16440972685813904,0.21645399928092957,11995.1162109375,12051.697265625
resid_post,0,6,1.4525405168533325,4.435631275177002,-2.983090877532959,93.80697631835938,680.8252563476562,-1744.4072265625,0.8338572382926941,0.8988472819328308,4975.38916015625,0.19494007527828217
resid_post,0,7,0.16453611850738525,0.25168848037719727,-0.0871523916721344,-78.04656982421875,-55.6940803527832,-148.04212951660156,0.17235733568668365,0.2277251034975052,18031.609375,14709.2666015625
resid_post,0,8,0.0,0.0,0.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,0,9,2.836141347885132,0.8653087019920349,1.9708325862884521,278.4156188964844,52.32440948486328,986.4071655273438,1.051592469215393,0.5408336520195007,34.537681579589844,5882.97705078125
resid_post,0,10,0.341305673122406,0.17749474942684174,0.16381090879440308,-54.460880279541016,-68.75475311279297,-9.70042610168457,0.43804875016212463,0.3579067289829254,12317.7861328125,16228.291015625
resid_post,0,11,0.1790245771408081,0.13656577467918396,0.042458802461624146,-76.1134262084961,-75.95967864990234,-76.59489440917969,0.37437787652015686,0.337204247713089,19261.248046875,20409.376953125
resid_post,0,12,0.0692073404788971,0.09757672250270844,-0.02836938388645649,-90.76592254638672,-82.82310485839844,-115.63841247558594,0.18316613137722015,0.2212771624326706,22058.373046875,20499.306640625
resid_post,0,13,0.25787103176116943,0.29979076981544495,-0.04191975295543671,-65.59324645996094,-47.22640609741211,-123.10795593261719,0.16155417263507843,0.20974110066890717,11874.486328125,10825.44140625
resid_post,1,0,-0.1709347814321518,-0.07589755207300186,-0.09503722935914993,-119.8597183227539,-111.16046142578125,-152.6077117919922,0.4358236789703369,0.5307453870773315,27399.916015625,25877.45703125
resid_post,1,1,4.488394737243652,1.4837754964828491,3.0046188831329346,421.4753723144531,118.18364715576172,1563.2021484375,1.5645952224731445,0.8938863277435303,39.847137451171875,5466.9404296875
resid_post,1,2,0.7517654299736023,0.3305874168872833,0.4211779236793518,-12.657604217529297,-51.38835144042969,133.1423797607422,0.7801718711853027,0.6778632402420044,9043.345703125,15785.689453125
resid_post,1,3,0.5801427960395813,0.37999552488327026,0.20014728605747223,-32.59724426269531,-44.123077392578125,10.791217803955078,0.6644457578659058,0.5806678533554077,12389.25390625,16310.7109375
resid_post,1,4,0.34098052978515625,0.275468647480011,0.06551187485456467,-60.38384246826172,-59.49336624145508,-63.73600387573242,0.26381513476371765,0.3059197664260864,14030.578125,15728.7265625
resid_post,1,5,0.37746569514274597,0.39381614327430725,-0.01635046862065792,-56.1448860168457,-42.09080505371094,-109.05078125,0.1873967945575714,0.2359537035226822,8596.4990234375,8810.8466796875
resid_post,1,6,1.723469614982605,4.450032711029053,-2.726562738418579,100.2379379272461,554.3607177734375,-1609.284423828125,0.8957312107086182,0.8700717687606812,4066.28662109375,0.6934753656387329
resid_post,1,7,0.2895210087299347,0.37519755959510803,-0.08567655086517334,-66.36256408691406,-44.82859802246094,-147.42613220214844,0.2083282768726349,0.273573637008667,14384.060546875,12073.763671875
resid_post,1,8,0.0,0.0,0.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0
resid_post,1,9,2.584502696990967,0.8696662783622742,1.714836597442627,200.27537536621094,27.881179809570312,849.2451171875,1.0725730657577515,0.5335165858268738,42.49347686767578,5679.44482421875
resid_post,1,10,0.347976416349411,0.21284598112106323,0.13513043522834778,-59.571044921875,-68.70178985595703,-25.19875717163086,0.4212668240070343,0.3718891143798828,11827.6484375,15096.3203125
resid_post,1,11,0.2705415189266205,0.24608822166919708,0.024453308433294296,-68.56766510009766,-63.81364440917969,-86.46390533447266,0.38087335228919983,0.34910887479782104,15717.4853515625,16379.9130859375
resid_post,1,12,0.12387077510356903,0.16925613582134247,-0.04538535326719284,-85.60831451416016,-75.11151885986328,-125.12299346923828,0.1956201195716858,0.24570351839065552,19154.974609375,17339.3203125
resid_post,1,13,0.34225425124168396,0.40998080372810364,-0.06772656738758087,-60.235862731933594,-39.7138557434082,-137.48992919921875,0.195683553814888,0.2586130201816559,10467.4814453125,9101.9775390625
resid_post,2,0,-0.17467790842056274,-0.05823948606848717,-0.11643842607736588,-117.47689056396484,-107.37369537353516,-155.5388946533203,0.544959306716919,0.6700228452682495,27132.0859375,25846.48046875
resid_post,2,1,4.52338171005249,1.5224517583847046,3.0009303092956543,352.57403564453125,92.75768280029297,1331.3861083984375,1.3198012113571167,0.9104917049407959,38.66737747192383,5808.66748046875
resid_post,2,2,1.057349681854248,0.5196565985679626,0.537693202495575,5.790104389190674,-34.20625686645508,156.46932983398438,0.9507006406784058,0.7815861701965332,6767.4873046875,13322.1279296875
resid_post,2,3,0.9284013509750366,0.605625569820404,0.3227757513523102,-7.111453056335449,-23.321720123291016,53.95783233642578,0.7629242539405823,0.6631874442100525,8250.5498046875,13045.640625
resid_post,2,4,0.5827711224555969,0.4603067934513092,0.12246432155370712,-41.69249725341797,-41.72053527832031,-41.58687210083008,0.35307246446609497,0.35417863726615906,9892.818359375,12179.515625
resid_post,2,5,0.5498918890953064,0.5518502593040466,-0.001958402805030346,-44.982139587402344,-30.13021469116211,-100.93412017822266,0.22837941348552704,0.27089518308639526,5871.84423828125,6502.6572265625
resid_post,2,6,1.9193989038467407,4.50045919418335,-2.5810604095458984,92.03997802734375,469.8033142089844,-1331.1160888671875,0.9857599139213562,0.7683583498001099,4004.98046875,2.1033289432525635
resid_post,2,7,0.4471839964389801,0.5318711996078491,-0.08468718826770782,-55.25828552246094,-32.65976333618164,-140.3941650390625,0.26917946338653564,0.2891463339328766,11208.791015625,9205.1142578125
resid_post,2,8,0.0,0.0,0.0,-100.0,-100.0,-99.99999237060547,0.0,0.0,0.0,0.0
resid_post,2,9,2.525493860244751,0.9231308102607727,1.6023627519607544,152.6810760498047,16.877634048461914,664.2962646484375,0.9461306929588318,0.541305422782898,24.789081573486328,5573.759765625
resid_post,2,10,0.4716813564300537,0.3013593554496765,0.170321986079216,-52.80727005004883,-61.844879150390625,-18.759685516357422,0.4805627763271332,0.406299889087677,9592.669921875,13074.232421875
resid_post,2,11,0.4556550681591034,0.3822270929813385,0.0734279677271843,-54.410728454589844,-51.60620880126953,-64.97627258300781,0.4189930558204651,0.37928763031959534,11043.5537109375,12929.609375
resid_post,2,12,0.2424893081188202,0.2753218412399292,-0.032832495868206024,-75.73841857910156,-65.14149475097656,-115.66046142578125,0.26255324482917786,0.27560529112815857,14899.87890625,13789.20703125
resid_post,2,13,0.46368253231048584,0.5415534377098083,-0.07787085324525833,-53.607566833496094,-31.433895111083984,-137.1428985595703,0.25475090742111206,0.32333260774612427,8558.7587890625,7583.78466796875
resid_post,3,0,-0.11015107482671738,0.005849247332662344,-0.11600032448768616,-110.00740051269531,-99.3380355834961,-153.43597412109375,0.5725939273834229,0.6994372010231018,25271.974609375,24315.3046875
resid_post,3,1,4.650947093963623,1.7527860403060913,2.898160934448242,322.5458984375,98.36572265625,1235.048095703125,1.133569359779358,1.006130337715149,32.374698638916016,5290.9677734375
resid_post,3,2,1.208575963973999,0.604777991771698,0.6037980318069458,9.80103588104248,-31.556262969970703,178.1417236328125,1.010924220085144,0.8590115904808044,6113.09765625,13002.1884765625
resid_post,3,3,1.1219571828842163,0.7461698055267334,0.3757873475551605,1.9315824508666992,-15.554715156555176,73.10778045654297,0.8157573342323303,0.7398939728736877,7102.39697265625,12063.67578125
resid_post,3,4,0.7001846432685852,0.5619193911552429,0.13826528191566467,-36.38711929321289,-36.40664291381836,-36.3076057434082,0.37791070342063904,0.3664214313030243,8620.1474609375,10789.7392578125
resid_post,3,5,0.7258824706077576,0.7135500311851501,0.012332338839769363,-34.05242919921875,-19.24635124206543,-94.3190689086914,0.24253691732883453,0.269479900598526,4330.916015625,4926.98095703125
resid_post,3,6,2.1008718013763428,4.614264965057373,-2.5133931636810303,90.86752319335938,422.2040710449219,-1257.8035888671875,1.0303521156311035,0.6895360350608826,3854.03857421875,4.879627227783203
resid_post,3,7,0.5632023215293884,0.6520671844482422,-0.08886487036943436,-48.83218002319336,-26.2044677734375,-140.9359130859375,0.35913732647895813,0.3357366621494293,10243.2158203125,8262.294921875
resid_post,3,8,0.0,0.0,0.0,-100.0,-100.0,-100.00000762939453,0.0,0.0,0.0,0.0
resid_post,3,9,2.4395217895507812,0.921721339225769,1.5178000926971436,121.63441467285156,4.312745094299316,599.1799926757812,0.8642089366912842,0.5787293910980225,33.433021545410156,6875.3818359375
resid_post,3,10,0.4791352450847626,0.2951929271221161,0.1839423030614853,-56.46980285644531,-66.59252166748047,-15.266321182250977,0.54962557554245,0.440032035112381,10867.9609375,14054.85546875
resid_post,3,11,0.5008295178413391,0.42238688468933105,0.07844258844852448,-54.498844146728516,-52.19776916503906,-63.865142822265625,0.45941492915153503,0.42422211170196533,11347.9609375,13199.8671875
resid_post,3,12,0.36743733286857605,0.36628133058547974,0.0011560218408703804,-66.61773681640625,-58.54732894897461,-99.46747589111328,0.30626988410949707,0.2821827530860901,11493.828125,11435.0009765625
resid_post,3,13,0.6613531708717346,0.7136197090148926,-0.05226663127541542,-39.91501998901367,-19.238462448120117,-124.07681274414062,0.2966874837875366,0.32559674978256226,5662.0869140625,5167.24072265625
resid_post,4,0,-0.11588113754987717,0.03415996953845024,-0.1500411033630371,-111.23533630371094,-95.88679504394531,-174.6826934814453,0.5711749196052551,0.7244449853897095,25373.64453125,23775.826171875
resid_post,4,1,4.38337516784668,1.5897657871246338,2.793609619140625,324.9931335449219,91.4240951538086,1290.5140380859375,1.1189042329788208,1.0646312236785889,38.66790771484375,7223.15576171875
resid_post,4,2,1.172664761543274,0.5439069271087646,0.628757894039154,13.696517944335938,-34.508033752441406,212.9630889892578,1.0336982011795044,0.8722243905067444,7281.20654296875,14221.4384765625
resid_post,4,3,1.115425705909729,0.7382952570915222,0.3771303594112396,8.146866798400879,-11.101686477661133,87.7159423828125,0.8135852813720703,0.7559176683425903,7900.90185546875,12874.271484375
resid_post,4,4,0.7460750937461853,0.5971548557281494,0.14892028272151947,-27.663776397705078,-28.096437454223633,-25.875205993652344,0.3631686270236969,0.36632826924324036,8461.1484375,10919.279296875
resid_post,4,5,0.8719866871833801,0.8438419699668884,0.028144732117652893,-15.455931663513184,1.6072195768356323,-85.99101257324219,0.29881903529167175,0.31027206778526306,3742.893798828125,4342.05712890625
resid_post,4,6,1.8759784698486328,4.308016300201416,-2.432037591934204,81.88677978515625,418.72930908203125,-1310.542236328125,1.0221740007400513,0.6315232515335083,5357.078125,13.231691360473633
resid_post,4,7,0.5280115008354187,0.6380957365036011,-0.11008430272340775,-48.80628204345703,-23.166736602783203,-154.79425048828125,0.40544453263282776,0.39361244440078735,12645.681640625,10247.63671875
resid_post,4,8,0.0,0.0,0.0,-100.0,-100.0,-99.99999237060547,0.0,0.0,0.0,0.0
resid_post,4,9,2.0737509727478027,0.7080364227294922,1.3657143115997314,101.06195068359375,-14.745160102844238,579.78173828125,0.7633284330368042,0.5962750315666199,182.59654235839844,10965.958984375
resid_post,4,10,0.3912331461906433,0.2285449206829071,0.1626882255077362,-62.06772232055664,-72.4808578491211,-19.02223777770996,0.5682195425033569,0.44138261675834656,13425.05859375,15980.201171875
resid_post,4,11,0.4297938644886017,0.36355504393577576,0.06623876094818115,-58.329044342041016,-56.224246978759766,-67.02977752685547,0.4471547305583954,0.4173431694507599,13708.10546875,15228.4658203125
resid_post,4,12,0.30838802456855774,0.3131299316883087,-0.0047418465837836266,-70.10002899169922,-62.29594421386719,-102.36024475097656,0.30615234375,0.31248417496681213,14465.759765625,14450.7265625
resid_post,4,13,0.6587828993797302,0.7204144597053528,-0.06163157895207405,-36.12725067138672,-13.254717826843262,-130.67701721191406,0.3599094748497009,0.38267436623573303,7675.7666015625,6797.52734375
